ticker,time,score,entry,last_close,pnl,pnl_pct,exec_mode,rsi14,bb_pct,atr_pct14,above_ma200
COST,2026-02-23 23:07,90,987.67,986.68,-9.9,-0.1,SKIP,22.2,0.177,,True
TXN,2026-02-23 23:06,85,218.06,212.64,-54.2,-2.49,SKIP,24.1,0.189,,True
CI,2026-02-23 23:06,83,285.98,289.0,30.2,1.06,SKIP,31.2,0.13,,True
MHK,2026-02-23 23:06,80,128.2,124.72,-34.8,-2.71,SKIP,31.4,0.146,,False
WMT,2026-02-23 23:06,80,124.83,124.41,-4.2,-0.34,MR,35.5,0.077,,True
ETN,2026-02-23 23:06,78,377.31,374.61,-27.0,-0.72,SKIP,18.6,0.203,,True
ZBRA,2026-02-23 23:05,78,251.66,234.98,-166.8,-6.63,SKIP,30.9,0.329,,False
CCL,2026-02-23 23:05,95,31.55,32.69,11.45,3.63,MR,24.3,0.06,,False
ANET,2026-02-23 23:05,78,137.2,130.21,-69.9,-5.09,SKIP,29.1,0.248,,False
CI,2026-02-23 22:05,76,280.4,289.0,86.0,3.07,SKIP,26.7,0.217,,True
EQR,2026-02-23 22:04,73,62.59,64.11,15.2,2.43,SKIP,34.3,0.138,,True
DDOG,2026-02-23 22:03,71,115.67,116.49,8.2,0.71,MR,21.5,0.011,,False
CRWD,2026-02-23 22:03,74,388.66,381.17,-74.9,-1.93,MR,24.7,-0.05,,False
